Green Curry,$12.00,Bistro Siam,$$,000000091.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/7YIemH-vQ8xVaIjGspMJVg/258s.jpg
Thai Bbq Chicken,$12.00,Bistro Siam,$$,000000092.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/xUeU4RQpMMvNwA8z6vGdZQ/258s.jpg
Spicy Fried Rice,$10.00,Bistro Siam,$$,000000093.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/5TcIbXhwrE_z65W-c3hwBg/258s.jpg
Fish and Chips,$7.25,The City Fish,$$,000000094.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/xx1loKnlNy-tvMbuYNqf2g/258s.jpg
Clam Chowder,$3.95,The City Fish,$$,000000095.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/krS6GjuGOfX-ptndAZlVJw/258s.jpg
Lobster Roll,$18.95,The City Fish,$$,000000096.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/guuLfMevU5o5cfM-dZRe7w/258s.jpg
2 Piece Fish Tacos,$7.95,The City Fish,$$,000000097.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/IqoqE94LzElBn01Ocb4sFw/258s.jpg
1 Piece Fried Fish a La Carte,$3.95,The City Fish,$$,000000098.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/i4HesnjXnqPrnXEfbZvEWg/258s.jpg
Crab Cakes,$4.95,The City Fish,$$,000000099.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/7FhqnxEWctPaLNlVNsxlCQ/258s.jpg
Linguini Pasta with Clams and Mussels,$15.95,The City Fish,$$,000000100.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/evg9WJk62KO2LRrksKDp4Q/258s.jpg
Fried Chicken,$4.95,The City Fish,$$,000000101.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/3dXsamL5WHTt0ZGnncnQiQ/258s.jpg
Fried Oyster a La Carte,$1.75,The City Fish,$$,000000102.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/Ov3jtITAr9261MjXGB98FQ/258s.jpg
Carnitas,$17.75,La Paloma,$$,000000103.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/_lTlIALlxpveaX1GsQ0Tig/258s.jpg
Tomatillo Chicken Enchiladas,$18.25,La Paloma,$$,000000104.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/aHpEW6az22quydACNHKQGw/258s.jpg
Carne Asada,$20.95,La Paloma,$$,000000105.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/SSVW8-wN72JXmbA-yKT5Rg/258s.jpg
Chimichanga,$15.50,La Paloma,$$,000000106.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/sLpMHpQUGHFJYSsUCRMETw/258s.jpg
Chicken Fajita Salad,$14.95,La Paloma,$$,000000107.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/YZdppq61LSmyNH0EsoTFKg/258s.jpg
Enchiladas Suizas,$16.25,La Paloma,$$,000000108.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/MzgQ_ewKPdJrnxxN0klv9A/258s.jpg
Caesar Salad,$1.50,Pizza Antica,$$,000000109.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/Dt_oKenpfPqTLIuD8jYZ2g/258s.jpg
Handmade Potato Ricotta Gnocchi,$13.95,Pizza Antica,$$,000000110.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/9Ggs92zXT8I3Ovd5O0WlAw/258s.jpg
Spaghetti,$8.95,Pizza Antica,$$,000000111.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/iOHe_SSWUIub38MsXfo1gA/258s.jpg
Bruschetta,$9.95,Pizza Antica,$$,000000112.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/2qbdbUAYH4nN-8gcBrY5MQ/258s.jpg
Mantu,$16.95,Kabul Afghan Cuisine,$$,000000113.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/U3oJ4adfhkvukNa9L_OG6A/258s.jpg
Aushak,$16.95,Kabul Afghan Cuisine,$$,000000114.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/q19vGw2pP1Ay9IU1Im61cQ/258s.jpg
Baklava,$6.50,Kabul Afghan Cuisine,$$,000000115.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/mF6Oxmp44Sb2yJwyg_mD6A/258s.jpg
Vegetarian Platter,$13.95,Kabul Afghan Cuisine,$$,000000116.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/ihEguLlqOKrCacoRu77lXA/258s.jpg
Bulanee,$6.50,Kabul Afghan Cuisine,$$,000000117.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/UxNzfKo95XpYhDukKI1_LA/258s.jpg
Firnee,$6.50,Kabul Afghan Cuisine,$$,000000118.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/bC_9L50Se27JtxLjXyKTdQ/258s.jpg
Qabili Pallaw,$17.95,Kabul Afghan Cuisine,$$,000000119.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/y1adEmj3n3LDJUYZ5qit_A/258s.jpg
Mater Challaw,$17.95,Kabul Afghan Cuisine,$$,000000120.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/pLDPoibCdZVvFcg2woPjaA/258s.jpg
Karaie,$17.95,Kabul Afghan Cuisine,$$,000000121.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/0BcngPOkSJjljv6zcE_16Q/258s.jpg
Sabsi Challaw,$17.95,Kabul Afghan Cuisine,$$,000000122.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/udL8vcmT9t0PcfPW-XwRlA/258s.jpg
Tea Leaf Salad,$13.00,Kyusu Burmese Cuisine,$$,000000123.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/CWnFpDRFSToqCYmlHhcTtw/258s.jpg
Curry Aroma Chicken,$14.00,Kyusu Burmese Cuisine,$$,000000124.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/DJVYVgAkGCy1XAMSmv-Y-g/258s.jpg
Burmese Chicken Curry,$12.50,Kyusu Burmese Cuisine,$$,000000125.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/IG19UwquBdY1xUWK-Os4pw/258s.jpg
Burmese Style Beef Stew,$15.00,Kyusu Burmese Cuisine,$$,000000126.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/Md4BOokSK5HYaUIrBNzUNw/258s.jpg
Kauk Swe Thoke,$13.00,Kyusu Burmese Cuisine,$$,000000127.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/HMg45lJ_P9BvxFbCskCIRg/258s.jpg
Shan Style Fish and Herbs,$15.00,Kyusu Burmese Cuisine,$$,000000128.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/cXulp9Nq0pynYVqdhjR5BA/258s.jpg
Nan Gyi Thoke,$13.00,Kyusu Burmese Cuisine,$$,000000129.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/KCPCSV3oM0f7i4ou6U97sw/258s.jpg
